"dctp_id","doc_type","comments"
"1","Устав школы","Устав школы — это документ, который регламентирует деятельность образовательного учреждения."
"2","Портфолио","Портфолио — это комплект наглядных образцов и кейсов, которые кандидат собрал за время работы."
